District,Date,NumberOfCumulativeCases
HuluSelangor,29/4/2020,50
Klang,29/4/2020,175
KualaLangat,29/4/2020,32
KualaSelangor,29/4/2020,35
Petaling,29/4/2020,376
SabakBernam,29/4/2020,24
Sepang,29/4/2020,71
Gombak,30/4/2020,164
HuluLangat,30/4/2020,477
HuluSelangor,30/4/2020,50
Klang,30/4/2020,175
KualaLangat,30/4/2020,32
KualaSelangor,30/4/2020,35
Petaling,30/4/2020,378
SabakBernam,30/4/2020,24
Sepang,30/4/2020,71
Gombak,1/5/2020,178
HuluLangat,1/5/2020,479
HuluSelangor,1/5/2020,51
Klang,1/5/2020,176
KualaLangat,1/5/2020,32
KualaSelangor,1/5/2020,35
Petaling,1/5/2020,379
SabakBernam,1/5/2020,24
Sepang,1/5/2020,71
Gombak,2/5/2020,215
HuluLangat,2/5/2020,479
HuluSelangor,2/5/2020,51
Klang,2/5/2020,178
KualaLangat,2/5/2020,32
KualaSelangor,2/5/2020,48
Petaling,2/5/2020,384
SabakBernam,2/5/2020,24
Sepang,2/5/2020,71
Gombak,3/5/2020,225
HuluLangat,3/5/2020,480
HuluSelangor,3/5/2020,51
Klang,3/5/2020,178
KualaLangat,3/5/2020,32
KualaSelangor,3/5/2020,48
Petaling,3/5/2020,384
SabakBernam,3/5/2020,24
Sepang,3/5/2020,71
Gombak,4/5/2020,232
HuluLangat,4/5/2020,480
HuluSelangor,4/5/2020,51
Klang,4/5/2020,178
KualaLangat,4/5/2020,32
KualaSelangor,4/5/2020,49
Petaling,4/5/2020,397
SabakBernam,4/5/2020,24
Sepang,4/5/2020,71
Gombak,5/5/2020,232
HuluLangat,5/5/2020,480
HuluSelangor,5/5/2020,51
Klang,5/5/2020,178
KualaLangat,5/5/2020,32
KualaSelangor,5/5/2020,49
Petaling,5/5/2020,397
SabakBernam,5/5/2020,24
Sepang,5/5/2020,71
Gombak,6/5/2020,232
HuluLangat,6/5/2020,484
HuluSelangor,6/5/2020,52
Klang,6/5/2020,180
KualaLangat,6/5/2020,32
KualaSelangor,6/5/2020,49
Petaling,6/5/2020,399
SabakBernam,6/5/2020,24
Sepang,6/5/2020,71
Gombak,7/5/2020,232
HuluLangat,7/5/2020,498
HuluSelangor,7/5/2020,53
Klang,7/5/2020,180
KualaLangat,7/5/2020,32
KualaSelangor,7/5/2020,49
Petaling,7/5/2020,400
SabakBernam,7/5/2020,24
Sepang,7/5/2020,71
Gombak,8/5/2020,232
HuluLangat,8/5/2020,498
HuluSelangor,8/5/2020,53
Klang,8/5/2020,181
KualaLangat,8/5/2020,32
KualaSelangor,8/5/2020,49
Petaling,8/5/2020,404
SabakBernam,8/5/2020,24
Sepang,8/5/2020,71
Gombak,9/5/2020,233
HuluLangat,9/5/2020,498
HuluSelangor,9/5/2020,53
Klang,9/5/2020,181
KualaLangat,9/5/2020,32
KualaSelangor,9/5/2020,49
Petaling,9/5/2020,413
SabakBernam,9/5/2020,24
Sepang,9/5/2020,71
Gombak,10/5/2020,234
HuluLangat,10/5/2020,498
HuluSelangor,10/5/2020,59
Klang,10/5/2020,181
KualaLangat,10/5/2020,32
KualaSelangor,10/5/2020,49
Petaling,10/5/2020,413
SabakBernam,10/5/2020,25
Sepang,10/5/2020,71
Gombak,11/5/2020,234
HuluLangat,11/5/2020,499
HuluSelangor,11/5/2020,61
Klang,11/5/2020,181
KualaLangat,11/5/2020,32
KualaSelangor,11/5/2020,49
Petaling,11/5/2020,413
SabakBernam,11/5/2020,25
Sepang,11/5/2020,71
Gombak,12/5/2020,234
HuluLangat,12/5/2020,500
HuluSelangor,12/5/2020,61
Klang,12/5/2020,181
KualaLangat,12/5/2020,32
KualaSelangor,12/5/2020,49
Petaling,12/5/2020,415
SabakBernam,12/5/2020,25
Sepang,12/5/2020,71
Gombak,13/5/2020,234
HuluLangat,13/5/2020,501
HuluSelangor,13/5/2020,61
Klang,13/5/2020,181
KualaLangat,13/5/2020,32
KualaSelangor,13/5/2020,49
Petaling,13/5/2020,415
SabakBernam,13/5/2020,26
Sepang,13/5/2020,71
Gombak,14/5/2020,234
HuluLangat,14/5/2020,501
HuluSelangor,14/5/2020,60
Klang,14/5/2020,181
KualaLangat,14/5/2020,32
KualaSelangor,14/5/2020,49
Petaling,14/5/2020,416
SabakBernam,14/5/2020,26
Sepang,14/5/2020,71
Gombak,15/5/2020,235
HuluLangat,15/5/2020,511
HuluSelangor,15/5/2020,60
Klang,15/5/2020,181
KualaLangat,15/5/2020,32
KualaSelangor,15/5/2020,49
Petaling,15/5/2020,417
SabakBernam,15/5/2020,27
Sepang,15/5/2020,72
Gombak,16/5/2020,235
HuluLangat,16/5/2020,511
HuluSelangor,16/5/2020,60
Klang,16/5/2020,181
KualaLangat,16/5/2020,32
KualaSelangor,16/5/2020,49
Petaling,16/5/2020,417
SabakBernam,16/5/2020,27
Sepang,16/5/2020,72
Gombak,17/5/2020,237
HuluLangat,17/5/2020,514
HuluSelangor,17/5/2020,60
Klang,17/5/2020,181
KualaLangat,17/5/2020,32
KualaSelangor,17/5/2020,49
Petaling,17/5/2020,418
SabakBernam,17/5/2020,27
Sepang,17/5/2020,72
Gombak,18/5/2020,237
HuluLangat,18/5/2020,514
HuluSelangor,18/5/2020,60
Klang,18/5/2020,181
KualaLangat,18/5/2020,32
KualaSelangor,18/5/2020,56
Petaling,18/5/2020,419
SabakBernam,18/5/2020,27
Sepang,18/5/2020,72
Gombak,19/5/2020,239
HuluLangat,19/5/2020,514
HuluSelangor,19/5/2020,61
Klang,19/5/2020,181
KualaLangat,19/5/2020,32
KualaSelangor,19/5/2020,57
Petaling,19/5/2020,420
SabakBernam,19/5/2020,27
Sepang,19/5/2020,72
Gombak,20/5/2020,241
HuluLangat,20/5/2020,517
HuluSelangor,20/5/2020,65
Klang,20/5/2020,181
KualaLangat,20/5/2020,32
KualaSelangor,20/5/2020,57
Petaling,20/5/2020,421
SabakBernam,20/5/2020,27
Sepang,20/5/2020,72
Gombak,21/5/2020,243
HuluLangat,21/5/2020,519
HuluSelangor,21/5/2020,65
Klang,21/5/2020,181
KualaLangat,21/5/2020,32
KualaSelangor,21/5/2020,57
Petaling,21/5/2020,421
SabakBernam,21/5/2020,27
Sepang,21/5/2020,76
Gombak,22/5/2020,245
HuluLangat,22/5/2020,531
HuluSelangor,22/5/2020,67
Klang,22/5/2020,181
KualaLangat,22/5/2020,32
KualaSelangor,22/5/2020,57
Petaling,22/5/2020,424
SabakBernam,22/5/2020,27
Sepang,22/5/2020,76
Gombak,23/5/2020,246
HuluLangat,23/5/2020,556
HuluSelangor,23/5/2020,70
Klang,23/5/2020,182
KualaLangat,23/5/2020,32
KualaSelangor,23/5/2020,58
Petaling,23/5/2020,425
SabakBernam,23/5/2020,27
Sepang,23/5/2020,77
Gombak,24/5/2020,246
HuluLangat,24/5/2020,592
HuluSelangor,24/5/2020,74
Klang,24/5/2020,182
KualaLangat,24/5/2020,32
KualaSelangor,24/5/2020,58
Petaling,24/5/2020,425
SabakBernam,24/5/2020,27
Sepang,24/5/2020,83
Gombak,25/5/2020,248
HuluLangat,25/5/2020,610
HuluSelangor,25/5/2020,75
Klang,25/5/2020,182
KualaLangat,25/5/2020,32
KualaSelangor,25/5/2020,58
Petaling,25/5/2020,425
SabakBernam,25/5/2020,27
Sepang,25/5/2020,112
Gombak,26/5/2020,248
HuluLangat,26/5/2020,611
HuluSelangor,26/5/2020,75
Klang,26/5/2020,183
KualaLangat,26/5/2020,32
KualaSelangor,26/5/2020,58
Petaling,26/5/2020,426
SabakBernam,26/5/2020,27
Sepang,26/5/2020,112
Gombak,27/5/2020,248
HuluLangat,27/5/2020,611
HuluSelangor,27/5/2020,75
Klang,27/5/2020,183
KualaLangat,27/5/2020,32
KualaSelangor,27/5/2020,58
Petaling,27/5/2020,428
SabakBernam,27/5/2020,27
Sepang,27/5/2020,112
Gombak,28/5/2020,248
HuluLangat,28/5/2020,611
HuluSelangor,28/5/2020,75
Klang,28/5/2020,183
KualaLangat,28/5/2020,32
KualaSelangor,28/5/2020,59
Petaling,28/5/2020,429
SabakBernam,28/5/2020,27
Sepang,28/5/2020,112
Gombak,29/5/2020,248
HuluLangat,29/5/2020,611
HuluSelangor,29/5/2020,75
Klang,29/5/2020,183
KualaLangat,29/5/2020,52
KualaSelangor,29/5/2020,60
Petaling,29/5/2020,432
SabakBernam,29/5/2020,27
Sepang,29/5/2020,112
Gombak,30/5/2020,248
HuluLangat,30/5/2020,613
HuluSelangor,30/5/2020,75
Klang,30/5/2020,183
KualaLangat,30/5/2020,52
KualaSelangor,30/5/2020,60
Petaling,30/5/2020,433
SabakBernam,30/5/2020,27
Sepang,30/5/2020,112
Gombak,31/5/2020,250
HuluLangat,31/5/2020,614
HuluSelangor,31/5/2020,75
Klang,31/5/2020,184
KualaLangat,31/5/2020,52
KualaSelangor,31/5/2020,60
Petaling,31/5/2020,433
SabakBernam,31/5/2020,27
Sepang,31/5/2020,136
Gombak,1/6/2020,250
HuluLangat,1/6/2020,617
HuluSelangor,1/6/2020,75
Klang,1/6/2020,185
KualaLangat,1/6/2020,52
KualaSelangor,1/6/2020,60
Petaling,1/6/2020,433
SabakBernam,1/6/2020,27
Sepang,1/6/2020,136
Gombak,2/6/2020,250
HuluLangat,2/6/2020,617
HuluSelangor,2/6/2020,75
Klang,2/6/2020,185
KualaLangat,2/6/2020,52
KualaSelangor,2/6/2020,60
Petaling,2/6/2020,433
SabakBernam,2/6/2020,27
Sepang,2/6/2020,138
Gombak,3/6/2020,250
HuluLangat,3/6/2020,617
HuluSelangor,3/6/2020,75
Klang,3/6/2020,185
KualaLangat,3/6/2020,52
KualaSelangor,3/6/2020,61
Petaling,3/6/2020,434
SabakBernam,3/6/2020,27
Sepang,3/6/2020,138
Gombak,4/6/2020,250
HuluLangat,4/6/2020,618
HuluSelangor,4/6/2020,75
Klang,4/6/2020,185
KualaLangat,4/6/2020,52
KualaSelangor,4/6/2020,61
Petaling,4/6/2020,434
SabakBernam,4/6/2020,27
Sepang,4/6/2020,138
Gombak,5/6/2020,251
HuluLangat,5/6/2020,618
HuluSelangor,5/6/2020,75
Klang,5/6/2020,185
KualaLangat,5/6/2020,54
KualaSelangor,5/6/2020,61
Petaling,5/6/2020,434
SabakBernam,5/6/2020,27
Sepang,5/6/2020,139
Gombak,6/6/2020,251
HuluLangat,6/6/2020,621
HuluSelangor,6/6/2020,75
Klang,6/6/2020,185
KualaLangat,6/6/2020,62
KualaSelangor,6/6/2020,61
Petaling,6/6/2020,435
SabakBernam,6/6/2020,27
Sepang,6/6/2020,140
Gombak,7/6/2020,252
HuluLangat,7/6/2020,621
HuluSelangor,7/6/2020,75
Klang,7/6/2020,186
KualaLangat,7/6/2020,63
KualaSelangor,7/6/2020,61
Petaling,7/6/2020,436
SabakBernam,7/6/2020,28
Sepang,7/6/2020,142
Gombak,8/6/2020,252
HuluLangat,8/6/2020,621
HuluSelangor,8/6/2020,75
Klang,8/6/2020,186
KualaLangat,8/6/2020,63
KualaSelangor,8/6/2020,61
Petaling,8/6/2020,436
SabakBernam,8/6/2020,28
Sepang,8/6/2020,144
Gombak,9/6/2020,252
HuluLangat,9/6/2020,621
HuluSelangor,9/6/2020,75
Klang,9/6/2020,186
KualaLangat,9/6/2020,63
KualaSelangor,9/6/2020,61
Petaling,9/6/2020,436
SabakBernam,9/6/2020,28
Sepang,9/6/2020,144
Gombak,10/6/2020,252
HuluLangat,10/6/2020,621
HuluSelangor,10/6/2020,75
Klang,10/6/2020,186
KualaLangat,10/6/2020,63
KualaSelangor,10/6/2020,61
Petaling,10/6/2020,436
SabakBernam,10/6/2020,28
Sepang,10/6/2020,144
Gombak,11/6/2020,252
HuluLangat,11/6/2020,624
HuluSelangor,11/6/2020,75
Klang,11/6/2020,186
KualaLangat,11/6/2020,63
KualaSelangor,11/6/2020,61
Petaling,11/6/2020,436
SabakBernam,11/6/2020,28
Sepang,11/6/2020,144
Gombak,12/6/2020,254
HuluLangat,12/6/2020,628
HuluSelangor,12/6/2020,75
Klang,12/6/2020,186
KualaLangat,12/6/2020,63
KualaSelangor,12/6/2020,62
Petaling,12/6/2020,436
SabakBernam,12/6/2020,28
Sepang,12/6/2020,144
Gombak,13/6/2020,255
HuluLangat,13/6/2020,629
HuluSelangor,13/6/2020,75
Klang,13/6/2020,186
KualaLangat,13/6/2020,63
KualaSelangor,13/6/2020,62
Petaling,13/6/2020,436
SabakBernam,13/6/2020,30
Sepang,13/6/2020,144
Gombak,14/6/2020,255
HuluLangat,14/6/2020,629
HuluSelangor,14/6/2020,75
Klang,14/6/2020,186
KualaLangat,14/6/2020,63
KualaSelangor,14/6/2020,62
Petaling,14/6/2020,436
SabakBernam,14/6/2020,30
Sepang,14/6/2020,144
Gombak,15/6/2020,255
HuluLangat,15/6/2020,629
HuluSelangor,15/6/2020,75
Klang,15/6/2020,186
KualaLangat,15/6/2020,63
KualaSelangor,15/6/2020,63
Petaling,15/6/2020,436
SabakBernam,15/6/2020,30
Sepang,15/6/2020,145
Gombak,16/6/2020,255
HuluLangat,16/6/2020,629
HuluSelangor,16/6/2020,75
Klang,16/6/2020,187
KualaLangat,16/6/2020,63
KualaSelangor,16/6/2020,63
Petaling,16/6/2020,436
SabakBernam,16/6/2020,30
Sepang,16/6/2020,145
Gombak,17/6/2020,254
HuluLangat,17/6/2020,629
HuluSelangor,17/6/2020,75
Klang,17/6/2020,187
KualaLangat,17/6/2020,63
KualaSelangor,17/6/2020,67
