State,Date,NumberofConfirmedCases
Sarawak,16/5/2020,0
Kuala Lumpur,16/5/2020,7
Putrajaya,16/5/2020,1
Labuan,16/5/2020,0
Perlis,17/5/2020,0
Kedah,17/5/2020,0
Pulau Pinang,17/5/2020,0
Perak,17/5/2020,0
Selangor,17/5/2020,8
Negeri Sembilan,17/5/2020,0
Melaka,17/5/2020,0
Johor,17/5/2020,0
Pahang,17/5/2020,1
Terengganu,17/5/2020,0
Kelantan,17/5/2020,0
Sabah,17/5/2020,0
Sarawak,17/5/2020,0
Kuala Lumpur,17/5/2020,13
Putrajaya,17/5/2020,0
Labuan,17/5/2020,0
Perlis,18/5/2020,0
Kedah,18/5/2020,0
Pulau Pinang,18/5/2020,0
Perak,18/5/2020,0
Selangor,18/5/2020,8
Negeri Sembilan,18/5/2020,0
Melaka,18/5/2020,0
Johor,18/5/2020,0
Pahang,18/5/2020,0
Terengganu,18/5/2020,0
Kelantan,18/5/2020,0
Sabah,18/5/2020,0
Sarawak,18/5/2020,0
Kuala Lumpur,18/5/2020,38
Putrajaya,18/5/2020,1
Labuan,18/5/2020,0
Perlis,19/5/2020,0
Kedah,19/5/2020,0
Pulau Pinang,19/5/2020,0
Perak,19/5/2020,0
Selangor,19/5/2020,6
Negeri Sembilan,19/5/2020,0
Melaka,19/5/2020,0
Johor,19/5/2020,1
Pahang,19/5/2020,2
Terengganu,19/5/2020,0
Kelantan,19/5/2020,0
Sabah,19/5/2020,6
Sarawak,19/5/2020,0
Kuala Lumpur,19/5/2020,22
Putrajaya,19/5/2020,0
Labuan,19/5/2020,0
Perlis,20/5/2020,0
Kedah,20/5/2020,1
Pulau Pinang,20/5/2020,0
Perak,20/5/2020,0
Selangor,20/5/2020,15
Negeri Sembilan,20/5/2020,0
Melaka,20/5/2020,0
Johor,20/5/2020,0
Pahang,20/5/2020,0
Terengganu,20/5/2020,1
Kelantan,20/5/2020,1
Sabah,20/5/2020,1
Sarawak,20/5/2020,0
Kuala Lumpur,20/5/2020,10
Putrajaya,20/5/2020,2
Labuan,20/5/2020,0
Perlis,21/5/2020,0
Kedah,21/5/2020,0
Pulau Pinang,21/5/2020,0
Perak,21/5/2020,0
Selangor,21/5/2020,8
Negeri Sembilan,21/5/2020,2
Melaka,21/5/2020,0
Johor,21/5/2020,0
Pahang,21/5/2020,1
Terengganu,21/5/2020,0
Kelantan,21/5/2020,0
Sabah,21/5/2020,0
Sarawak,21/5/2020,0
Kuala Lumpur,21/5/2020,39
Putrajaya,21/5/2020,0
Labuan,21/5/2020,0
Perlis,22/5/2020,0
Kedah,22/5/2020,0
Pulau Pinang,22/5/2020,0
Perak,22/5/2020,0
Selangor,22/5/2020,20
Negeri Sembilan,22/5/2020,13
Melaka,22/5/2020,1
Johor,22/5/2020,0
Pahang,22/5/2020,2
Terengganu,22/5/2020,0
Kelantan,22/5/2020,0
Sabah,22/5/2020,2
Sarawak,22/5/2020,1
Kuala Lumpur,22/5/2020,39
Putrajaya,22/5/2020,0
Labuan,22/5/2020,0
Perlis,23/5/2020,0
Kedah,23/5/2020,0
Pulau Pinang,23/5/2020,0
Perak,23/5/2020,0
Selangor,23/5/2020,37
Negeri Sembilan,23/5/2020,1
Melaka,23/5/2020,0
Johor,23/5/2020,1
Pahang,23/5/2020,3
Terengganu,23/5/2020,0
Kelantan,23/5/2020,0
Sabah,23/5/2020,1
Sarawak,23/5/2020,0
Kuala Lumpur,23/5/2020,5
Putrajaya,23/5/2020,0
Labuan,23/5/2020,0
Perlis,24/5/2020,0
Kedah,24/5/2020,0
Pulau Pinang,24/5/2020,0
Perak,24/5/2020,0
Selangor,24/5/2020,46
Negeri Sembilan,24/5/2020,0
Melaka,24/5/2020,0
Johor,24/5/2020,1
Pahang,24/5/2020,0
Terengganu,24/5/2020,0
Kelantan,24/5/2020,0
Sabah,24/5/2020,2
Sarawak,24/5/2020,0
Kuala Lumpur,24/5/2020,11
Putrajaya,24/5/2020,0
Labuan,24/5/2020,0
Perlis,25/5/2020,0
Kedah,25/5/2020,0
Pulau Pinang,25/5/2020,0
Perak,25/5/2020,0
Selangor,25/5/2020,53
Negeri Sembilan,25/5/2020,0
Melaka,25/5/2020,0
Johor,25/5/2020,0
Pahang,25/5/2020,0
Terengganu,25/5/2020,0
Kelantan,25/5/2020,0
Sabah,25/5/2020,0
Sarawak,25/5/2020,4
Kuala Lumpur,25/5/2020,115
Putrajaya,25/5/2020,0
Labuan,25/5/2020,0
Perlis,26/5/2020,0
Kedah,26/5/2020,0
Pulau Pinang,26/5/2020,0
Perak,26/5/2020,0
Selangor,26/5/2020,9
Negeri Sembilan,26/5/2020,1
Melaka,26/5/2020,0
Johor,26/5/2020,0
Pahang,26/5/2020,0
Terengganu,26/5/2020,0
Kelantan,26/5/2020,0
Sabah,26/5/2020,0
Sarawak,26/5/2020,0
Kuala Lumpur,26/5/2020,177
Putrajaya,26/5/2020,0
Labuan,26/5/2020,0
Perlis,27/5/2020,0
Kedah,27/5/2020,0
Pulau Pinang,27/5/2020,0
Perak,27/5/2020,0
Selangor,27/5/2020,5
Negeri Sembilan,27/5/2020,0
Melaka,27/5/2020,0
Johor,27/5/2020,0
Pahang,27/5/2020,0
Terengganu,27/5/2020,0
Kelantan,27/5/2020,0
Sabah,27/5/2020,1
Sarawak,27/5/2020,3
Kuala Lumpur,27/5/2020,6
Putrajaya,27/5/2020,0
Labuan,27/5/2020,0
Perlis,28/5/2020,0
Kedah,28/5/2020,0
Pulau Pinang,28/5/2020,0
Perak,28/5/2020,0
Selangor,28/5/2020,2
Negeri Sembilan,28/5/2020,0
Melaka,28/5/2020,0
Johor,28/5/2020,0
Pahang,28/5/2020,1
Terengganu,28/5/2020,0
Kelantan,28/5/2020,0
Sabah,28/5/2020,0
Sarawak,28/5/2020,0
Kuala Lumpur,28/5/2020,7
Putrajaya,28/5/2020,0
Labuan,28/5/2020,0
Perlis,29/5/2020,0
Kedah,29/5/2020,0
Pulau Pinang,29/5/2020,0
Perak,29/5/2020,0
Selangor,29/5/2020,28
Negeri Sembilan,29/5/2020,59
Melaka,29/5/2020,0
Johor,29/5/2020,3
Pahang,29/5/2020,1
Terengganu,29/5/2020,0
Kelantan,29/5/2020,0
Sabah,29/5/2020,2
Sarawak,29/5/2020,0
Kuala Lumpur,29/5/2020,10
Putrajaya,29/5/2020,0
Labuan,29/5/2020,0
Perlis,30/5/2020,0
Kedah,30/5/2020,0
Pulau Pinang,30/5/2020,0
Perak,30/5/2020,1
Selangor,30/5/2020,5
Negeri Sembilan,30/5/2020,4
Melaka,30/5/2020,2
Johor,30/5/2020,1
Pahang,30/5/2020,0
Terengganu,30/5/2020,0
Kelantan,30/5/2020,0
Sabah,30/5/2020,0
Sarawak,30/5/2020,0
Kuala Lumpur,30/5/2020,13
Putrajaya,30/5/2020,4
Labuan,30/5/2020,0
Perlis,31/5/2020,0
Kedah,31/5/2020,0
Pulau Pinang,31/5/2020,0
Perak,31/5/2020,0
Selangor,31/5/2020,31
Negeri Sembilan,31/5/2020,2
Melaka,31/5/2020,1
Johor,31/5/2020,0
Pahang,31/5/2020,15
Terengganu,31/5/2020,0
Kelantan,31/5/2020,0
Sabah,31/5/2020,0
Sarawak,31/5/2020,0
Kuala Lumpur,31/5/2020,8
Putrajaya,31/5/2020,0
Labuan,31/5/2020,0
Perlis,1/6/2020,0
Kedah,1/6/2020,0
Pulau Pinang,1/6/2020,0
Perak,1/6/2020,0
Selangor,1/6/2020,11
Negeri Sembilan,1/6/2020,2
Melaka,1/6/2020,13
Johor,1/6/2020,0
Pahang,1/6/2020,0
Terengganu,1/6/2020,0
Kelantan,1/6/2020,0
Sabah,1/6/2020,1
Sarawak,1/6/2020,0
Kuala Lumpur,1/6/2020,11
Putrajaya,1/6/2020,0
Labuan,1/6/2020,0
Perlis,2/6/2020,0
Kedah,2/6/2020,0
Pulau Pinang,2/6/2020,0
Perak,2/6/2020,0
Selangor,2/6/2020,6
Negeri Sembilan,2/6/2020,6
Melaka,2/6/2020,1
Johor,2/6/2020,1
Pahang,2/6/2020,0
Terengganu,2/6/2020,0
Kelantan,2/6/2020,0
Sabah,2/6/2020,1
Sarawak,2/6/2020,0
Kuala Lumpur,2/6/2020,5
Putrajaya,2/6/2020,0
Labuan,2/6/2020,0
Perlis,3/6/2020,0
Kedah,3/6/2020,0
Pulau Pinang,3/6/2020,0
Perak,3/6/2020,0
Selangor,3/6/2020,2
Negeri Sembilan,3/6/2020,36
Melaka,3/6/2020,0
Johor,3/6/2020,0
Pahang,3/6/2020,0
Terengganu,3/6/2020,0
Kelantan,3/6/2020,0
Sabah,3/6/2020,0
Sarawak,3/6/2020,0
Kuala Lumpur,3/6/2020,55
Putrajaya,3/6/2020,0
Labuan,3/6/2020,0
Perlis,4/6/2020,0
Kedah,4/6/2020,0
Pulau Pinang,4/6/2020,0
Perak,4/6/2020,0
Selangor,4/6/2020,2
Negeri Sembilan,4/6/2020,3
Melaka,4/6/2020,0
Johor,4/6/2020,0
Pahang,4/6/2020,1
Terengganu,4/6/2020,0
Kelantan,4/6/2020,0
Sabah,4/6/2020,0
Sarawak,4/6/2020,0
Kuala Lumpur,4/6/2020,271
Putrajaya,4/6/2020,0
Labuan,4/6/2020,0
Perlis,5/6/2020,0
Kedah,5/6/2020,0
Pulau Pinang,5/6/2020,0
Perak,5/6/2020,0
Selangor,5/6/2020,9
Negeri Sembilan,5/6/2020,0
Melaka,5/6/2020,1
Johor,5/6/2020,0
Pahang,5/6/2020,1
Terengganu,5/6/2020,0
Kelantan,5/6/2020,0
Sabah,5/6/2020,3
Sarawak,5/6/2020,1
Kuala Lumpur,5/6/2020,4
Putrajaya,5/6/2020,0
Labuan,5/6/2020,0
Perlis,6/6/2020,0
Kedah,6/6/2020,0
Pulau Pinang,6/6/2020,0
Perak,6/6/2020,0
Selangor,6/6/2020,14
Negeri Sembilan,6/6/2020,5
Melaka,6/6/2020,0
Johor,6/6/2020,0
Pahang,6/6/2020,0
Terengganu,6/6/2020,0
Kelantan,6/6/2020,0
Sabah,6/6/2020,0
Sarawak,6/6/2020,2
Kuala Lumpur,6/6/2020,15
Putrajaya,6/6/2020,0
Labuan,6/6/2020,1
Perlis,7/6/2020,0
Kedah,7/6/2020,0
Pulau Pinang,7/6/2020,0
Perak,7/6/2020,0
Selangor,7/6/2020,12
Negeri Sembilan,7/6/2020,1
Melaka,7/6/2020,0
Johor,7/6/2020,0
Pahang,7/6/2020,0
Terengganu,7/6/2020,0
Kelantan,7/6/2020,0
Sabah,7/6/2020,2
Sarawak,7/6/2020,0
Kuala Lumpur,7/6/2020,4
Putrajaya,7/6/2020,0
Labuan,7/6/2020,0
Perlis,8/6/2020,0
Kedah,8/6/2020,0
Pulau Pinang,8/6/2020,0
Perak,8/6/2020,0
Selangor,8/6/2020,3
Negeri Sembilan,8/6/2020,0
Melaka,8/6/2020,1
Johor,8/6/2020,0
Pahang,8/6/2020,0
Terengganu,8/6/2020,0
Kelantan,8/6/2020,0
Sabah,8/6/2020,2
Sarawak,8/6/2020,0
Kuala Lumpur,8/6/2020,1
Putrajaya,8/6/2020,0
Labuan,8/6/2020,0
Perlis,9/6/2020,0
Kedah,9/6/2020,0
Pulau Pinang,9/6/2020,0
Perak,9/6/2020,0
Selangor,9/6/2020,3
Negeri Sembilan,9/6/2020,0
Melaka,9/6/2020,0
Johor,9/6/2020,0
Pahang,9/6/2020,0
Terengganu,9/6/2020,0
Kelantan,9/6/2020,0
Sabah,9/6/2020,0
Sarawak,9/6/2020,0
Kuala Lumpur,9/6/2020,4
Putrajaya,9/6/2020,0
Labuan,9/6/2020,0
Perlis,10/6/2020,0
Kedah,10/6/2020,0
Pulau Pinang,10/6/2020,0
Perak,10/6/2020,0
Selangor,10/6/2020,0
Negeri Sembilan,10/6/2020,0
Melaka,10/6/2020,0
Johor,10/6/2020,1
Pahang,10/6/2020,0
Terengganu,10/6/2020,0
Kelantan,10/6/2020,0
Sabah,10/6/2020,0
Sarawak,10/6/2020,1
Kuala Lumpur,10/6/2020,0
Putrajaya,10/6/2020,0
Labuan,10/6/2020,0
Perlis,11/6/2020,0
Kedah,11/6/2020,0
Pulau Pinang,11/6/2020,0
Perak,11/6/2020,0
Selangor,11/6/2020,3
Negeri Sembilan,11/6/2020,16
Melaka,11/6/2020,11
Johor,11/6/2020,0
Pahang,11/6/2020,0
Terengganu,11/6/2020,0
Kelantan,11/6/2020,0
Sabah,11/6/2020,0
Sarawak,11/6/2020,0
Kuala Lumpur,11/6/2020,1
Putrajaya,11/6/2020,0
Labuan,11/6/2020,0
Perlis,12/6/2020,0
Kedah,12/6/2020,0
Pulau Pinang,12/6/2020,0
Perak,12/6/2020,0
Selangor,12/6/2020,13
Negeri Sembilan,12/6/2020,4
Melaka,12/6/2020,4
Johor,12/6/2020,1
Pahang,12/6/2020,0
Terengganu,12/6/2020,0
Kelantan,12/6/2020,0
Sabah,12/6/2020,1
Sarawak,12/6/2020,0
Kuala Lumpur,12/6/2020,10
Putrajaya,12/6/2020,0
Labuan,12/6/2020,0
Perlis,13/6/2020,0
Kedah,13/6/2020,0
Pulau Pinang,13/6/2020,0
Perak,13/6/2020,1
Selangor,13/6/2020,7
Negeri Sembilan,13/6/2020,26
Melaka,13/6/2020,2
Johor,13/6/2020,2
Pahang,13/6/2020,2
Terengganu,13/6/2020,0
Kelantan,13/6/2020,0
Sabah,13/6/2020,2
Sarawak,13/6/2020,0
Kuala Lumpur,13/6/2020,1
Putrajaya,13/6/2020,0
Labuan,13/6/2020,0
Perlis,14/6/2020,0
Kedah,14/6/2020,0
Pulau Pinang,14/6/2020,0
Perak,14/6/2020,0
Selangor,14/6/2020,2
Negeri Sembilan,14/6/2020,0
Melaka,14/6/2020,1
Johor,14/6/2020,0
Pahang,14/6/2020,0
Terengganu,14/6/2020,0
Kelantan,14/6/2020,0
Sabah,14/6/2020,0
Sarawak,14/6/2020,1
Kuala Lumpur,14/6/2020,4
Putrajaya,14/6/2020,0
Labuan,14/6/2020,0
Perlis,15/6/2020,0
Kedah,15/6/2020,0
Pulau Pinang,15/6/2020,0
Perak,15/6/2020,0
Selangor,15/6/2020,2
Negeri Sembilan,15/6/2020,32
Melaka,15/6/2020,2
Johor,15/6/2020,3
Pahang,15/6/2020,0
Terengganu,15/6/2020,0
Kelantan,15/6/2020,0
Sabah,15/6/2020,1
Sarawak,15/6/2020,0
Kuala Lumpur,15/6/2020,1
Putrajaya,15/6/2020,0
Labuan,15/6/2020,0
Perlis,16/6/2020,0
Kedah,16/6/2020,0
Pulau Pinang,16/6/2020,0
Perak,16/6/2020,0
Selangor,16/6/2020,1
Negeri Sembilan,16/6/2020,4
Melaka,16/6/2020,0
Johor,16/6/2020,1
Pahang,16/6/2020,0
Terengganu,16/6/2020,0
Kelantan,16/6/2020,0
Sabah,16/6/2020,0
Sarawak,16/6/2020,3
Kuala Lumpur,16/6/2020,2
Putrajaya,16/6/2020,0
Labuan,16/6/2020,0
Perlis,17/6/2020,0
Kedah,17/6/2020,0
Pulau Pinang,17/6/2020,0
Perak,17/6/2020,0
Selangor,17/6/2020,5
Negeri Sembilan,17/6/2020,1
Melaka,17/6/2020,0
Johor,17/6/2020,0
Pahang,17/6/2020,0
Terengganu,17/6/2020,0
Kelantan,17/6/2020,0
Sabah,17/6/2020,2
Sarawak,17/6/2020,1
Kuala Lumpur,17/6/2020,1
Putrajaya,17/6/2020,0
Labuan,17/6/2020,0
Perlis,18/6/2020,0
Kedah,18/6/2020,0
Pulau Pinang,18/6/2020,0
Perak,18/6/2020,1
Selangor,18/6/2020,2
Negeri Sembilan,18/6/2020,0
Melaka,18/6/2020,0
Johor,18/6/2020,2
Pahang,18/6/2020,0
Terengganu,18/6/2020,0
Kelantan,18/6/2020,0
Sabah,18/6/2020,1
Sarawak,18/6/2020,4
Kuala Lumpur,18/6/2020,4
Putrajaya,18/6/2020,0
Labuan,18/6/2020,0
Perlis,19/6/2020,0
Kedah,19/6/2020,0
Pulau Pinang,19/6/2020,0
Perak,19/6/2020,0
Selangor,19/6/2020,3
Negeri Sembilan,19/6/2020,1
Melaka,19/6/2020,0
Johor,19/6/2020,0
Pahang,19/6/2020,0
Terengganu,19/6/2020,0
Kelantan,19/6/2020,0
Sabah,19/6/2020,0
Sarawak,19/6/2020,1
Kuala Lumpur,19/6/2020,1
Putrajaya,19/6/2020,0
Labuan,19/6/2020,0
Perlis,20/6/2020,0
Kedah,20/6/2020,0
Pulau Pinang,20/6/2020,0
Perak,20/6/2020,0
Selangor,20/6/2020,12
Negeri Sembilan,20/6/2020,1
Melaka,20/6/2020,0
Johor,20/6/2020,0
Pahang,20/6/2020,0
Terengganu,20/6/2020,0
Kelantan,20/6/2020,0
Sabah,20/6/2020,1
Sarawak,20/6/2020,0
Kuala Lumpur,20/6/2020,7
Putrajaya,20/6/2020,0
Labuan,20/6/2020,0
Perlis,21/6/2020,0
Kedah,21/6/2020,0
Pulau Pinang,21/6/2020,0
Perak,21/6/2020,0
Selangor,21/6/2020,4
Negeri Sembilan,21/6/2020,6
Melaka,21/6/2020,1
Johor,21/6/2020,1
Pahang,21/6/2020,0
Terengganu,21/6/2020,0
Kelantan,21/6/2020,0
Sabah,21/6/2020,1
Sarawak,21/6/2020,3
Kuala Lumpur,21/6/2020,0
Putrajaya,21/6/2020,0
Labuan,21/6/2020,0
Perlis,22/6/2020,0
Kedah,22/6/2020,0
Pulau Pinang,22/6/2020,0
Perak,22/6/2020,0
Selangor,22/6/2020,2
Negeri Sembilan,22/6/2020,12
Melaka,22/6/2020,0
Johor,22/6/2020,1
Pahang,22/6/2020,0
Terengganu,22/6/2020,0
Kelantan,22/6/2020,0
Sabah,22/6/2020,0
Sarawak,22/6/2020,0
Kuala Lumpur,22/6/2020,0
Putrajaya,22/6/2020,0
Labuan,22/6/2020,0
Perlis,23/6/2020,0
Kedah,23/6/2020,0
Pulau Pinang,23/6/2020,0
Perak,23/6/2020,0
Selangor,23/6/2020,0
Negeri Sembilan,23/6/2020,1
Melaka,23/6/2020,0
Johor,23/6/2020,0
Pahang,23/6/2020,0
Terengganu,23/6/2020,0
Kelantan,23/6/2020,0
Sabah,23/6/2020,2
Sarawak,23/6/2020,0
Kuala Lumpur,23/6/2020,0
Putrajaya,23/6/2020,0
Labuan,23/6/2020,0
Perlis,24/6/2020,0
Kedah,24/6/2020,0
Pulau Pinang,24/6/2020,0
Perak,24/6/2020,0
Selangor,24/6/2020,5
Negeri Sembilan,24/6/2020,0
Melaka,24/6/2020,0
Johor,24/6/2020,0
Pahang,24/6/2020,0
Terengganu,24/6/2020,0
Kelantan,24/6/2020,0
Sabah,24/6/2020,0
Sarawak,24/6/2020,1
Kuala Lumpur,24/6/2020,0
Putrajaya,24/6/2020,0
Labuan,24/6/2020,0
Perlis,25/6/2020,0
Kedah,25/6/2020,0
Pulau Pinang,25/6/2020,0
Perak,25/6/2020,0
Selangor,25/6/2020,2
Negeri Sembilan,25/6/2020,0
Melaka,25/6/2020,0
Johor,25/6/2020,1
Pahang,25/6/2020,0
Terengganu,25/6/2020,0
Kelantan,25/6/2020,1
Sabah,25/6/2020,0
Sarawak,25/6/2020,0
Kuala Lumpur,25/6/2020,0
Putrajaya,25/6/2020,0
Labuan,25/6/2020,0
Perlis,26/6/2020,0
Kedah,26/6/2020,1
Pulau Pinang,26/6/2020,0
Perak,26/6/2020,0
Selangor,26/6/2020,2
Negeri Sembilan,26/6/2020,0
Melaka,26/6/2020,0
Johor,26/6/2020,2
Pahang,26/6/2020,0
Terengganu,26/6/2020,0
Kelantan,26/6/2020,0
Sabah,26/6/2020,0
Sarawak,26/6/2020,0
Kuala Lumpur,26/6/2020,1
Putrajaya,26/6/2020,0
Labuan,26/6/2020,0
Perlis,27/6/2020,0
Kedah,27/6/2020,0
Pulau Pinang,27/6/2020,0
Perak,27/6/2020,0
Selangor,27/6/2020,3
Negeri Sembilan,27/6/2020,1
Melaka,27/6/2020,0
Johor,27/6/2020,0
Pahang,27/6/2020,0
Terengganu,27/6/2020,0
Kelantan,27/6/2020,0
Sabah,27/6/2020,2
Sarawak,27/6/2020,0
Kuala Lumpur,27/6/2020,4
Putrajaya,27/6/2020,0
Labuan,27/6/2020,0
Perlis,28/6/2020,0
Kedah,28/6/2020,0
Pulau Pinang,28/6/2020,0
Perak,28/6/2020,0
Selangor,28/6/2020,5
Negeri Sembilan,28/6/2020,9
Melaka,28/6/2020,0
Johor,28/6/2020,0
Pahang,28/6/2020,0
Terengganu,28/6/2020,0
Kelantan,28/6/2020,0
Sabah,28/6/2020,2
Sarawak,28/6/2020,1
Kuala Lumpur,28/6/2020,1
Putrajaya,28/6/2020,0
Labuan,28/6/2020,0
Perlis,29/6/2020,0
Kedah,29/6/2020,0
Pulau Pinang,29/6/2020,0
Perak,29/6/2020,0
Selangor,29/6/2020,2
Negeri Sembilan,29/6/2020,0
Melaka,29/6/2020,0
Johor,29/6/2020,0
Pahang,29/6/2020,0
Terengganu,29/6/2020,0
Kelantan,29/6/2020,0
Sabah,29/6/2020,1
Sarawak,29/6/2020,0
Kuala Lumpur,29/6/2020,0
Putrajaya,29/6/2020,0
Labuan,29/6/2020,0
Perlis,30/6/2020,0
Kedah,30/6/2020,0
Pulau Pinang,30/6/2020,0
Perak,30/6/2020,0
Selangor,30/6/2020,1
Negeri Sembilan,30/6/2020,0
Melaka,30/6/2020,0
Johor,30/6/2020,0
Pahang,30/6/2020,0
Terengganu,30/6/2020,0
Kelantan,30/6/2020,0
Sabah,30/6/2020,1
Sarawak,30/6/2020,0
Kuala Lumpur,30/6/2020,0
Putrajaya,30/6/2020,0
Labuan,30/6/2020,0
Perlis,1/7/2020,0
Kedah,1/7/2020,0
Pulau Pinang,1/7/2020,0
Perak,1/7/2020,0
Selangor,1/7/2020,1
Negeri Sembilan,1/7/2020,0
Melaka,1/7/2020,0
Johor,1/7/2020,0
Pahang,1/7/2020,0
Terengganu,1/7/2020,0
Kelantan,1/7/2020,0
Sabah,1/7/2020,0
Sarawak,1/7/2020,0
Kuala Lumpur,1/7/2020,0
Putrajaya,1/7/2020,0
Labuan,1/7/2020,0
Perlis,2/7/2020,0
Kedah,2/7/2020,0
Pulau Pinang,2/7/2020,0
Perak,2/7/2020,0
Selangor,2/7/2020,0
Negeri Sembilan,2/7/2020,0
Melaka,2/7/2020,0
Johor,2/7/2020,1
Pahang,2/7/2020,0
Terengganu,2/7/2020,0
Kelantan,2/7/2020,0
Sabah,2/7/2020,1
Sarawak,2/7/2020,0
Kuala Lumpur,2/7/2020,1
Putrajaya,2/7/2020,0
Labuan,2/7/2020,0
Perlis,3/7/2020,0
Kedah,3/7/2020,0
Pulau Pinang,3/7/2020,0
Perak,3/7/2020,0
Selangor,3/7/2020,3
Negeri Sembilan,3/7/2020,0
Melaka,3/7/2020,0
Johor,3/7/2020,0
Pahang,3/7/2020,0
Terengganu,3/7/2020,0
Kelantan,3/7/2020,0
Sabah,3/7/2020,2
Sarawak,3/7/2020,0
Kuala Lumpur,3/7/2020,0
Putrajaya,3/7/2020,0
Labuan,3/7/2020,0
Perlis,4/7/2020,0
Kedah,4/7/2020,0
Pulau Pinang,4/7/2020,0
Perak,4/7/2020,0
Selangor,4/7/2020,7
Negeri Sembilan,4/7/2020,1
Melaka,4/7/2020,0
Johor,4/7/2020,0
Pahang,4/7/2020,0
Terengganu,4/7/2020,0
Kelantan,4/7/2020,0
Sabah,4/7/2020,1
Sarawak,4/7/2020,0
Kuala Lumpur,4/7/2020,1
Putrajaya,4/7/2020,0
Labuan,4/7/2020,0
Perlis,5/7/2020,0
Kedah,5/7/2020,0
Pulau Pinang,5/7/2020,0
Perak,5/7/2020,0
Selangor,5/7/2020,2
Negeri Sembilan,5/7/2020,1
Melaka,5/7/2020,0
Johor,5/7/2020,0
Pahang,5/7/2020,0
Terengganu,5/7/2020,0
Kelantan,5/7/2020,0
Sabah,5/7/2020,2
Sarawak,5/7/2020,0
Kuala Lumpur,5/7/2020,0
Putrajaya,5/7/2020,0
Labuan,5/7/2020,0
Perlis,6/7/2020,0
Kedah,6/7/2020,0
Pulau Pinang,6/7/2020,0
Perak,6/7/2020,0
Selangor,6/7/2020,2
Negeri Sembilan,6/7/2020,0
Melaka,6/7/2020,0
Johor,6/7/2020,1
Pahang,6/7/2020,0
Terengganu,6/7/2020,0
Kelantan,6/7/2020,0
Sabah,6/7/2020,0
Sarawak,6/7/2020,1
Kuala Lumpur,6/7/2020,1
Putrajaya,6/7/2020,0
Labuan,6/7/2020,0
Perlis,7/7/2020,0
Kedah,7/7/2020,0
Pulau Pinang,7/7/2020,0
Perak,7/7/2020,0
Selangor,7/7/2020,3
Negeri Sembilan,7/7/2020,0
Melaka,7/7/2020,0
Johor,7/7/2020,1
Pahang,7/7/2020,0
Terengganu,7/7/2020,0
Kelantan,7/7/2020,0
Sabah,7/7/2020,0
Sarawak,7/7/2020,0
Kuala Lumpur,7/7/2020,2
Putrajaya,7/7/2020,0
Labuan,7/7/2020,0
Perlis,8/7/2020,0
Kedah,8/7/2020,0
Pulau Pinang,8/7/2020,0
Perak,8/7/2020,0
Selangor,8/7/2020,1
Negeri Sembilan,8/7/2020,0
Melaka,8/7/2020,0
Johor,8/7/2020,0
Pahang,8/7/2020,0
Terengganu,8/7/2020,0
Kelantan,8/7/2020,0
Sabah,8/7/2020,0
Sarawak,8/7/2020,1
Kuala Lumpur,8/7/2020,1
Putrajaya,8/7/2020,0
Labuan,8/7/2020,0
Perlis,9/7/2020,0
Kedah,9/7/2020,0
Pulau Pinang,9/7/2020,0
Perak,9/7/2020,0
Selangor,9/7/2020,4
Negeri Sembilan,9/7/2020,0
Melaka,9/7/2020,0
Johor,9/7/2020,2
Pahang,9/7/2020,0
Terengganu,9/7/2020,0
Kelantan,9/7/2020,0
Sabah,9/7/2020,0
Sarawak,9/7/2020,0
Kuala Lumpur,9/7/2020,0
Putrajaya,9/7/2020,0
Labuan,9/7/2020,0
Perlis,10/7/2020,0
Kedah,10/7/2020,1
Pulau Pinang,10/7/2020,0
Perak,10/7/2020,0
Selangor,10/7/2020,6
Negeri Sembilan,10/7/2020,0
Melaka,10/7/2020,0
Johor,10/7/2020,1
Pahang,10/7/2020,0
Terengganu,10/7/2020,0
Kelantan,10/7/2020,0
Sabah,10/7/2020,0
Sarawak,10/7/2020,2
Kuala Lumpur,10/7/2020,3
Putrajaya,10/7/2020,0
Labuan,10/7/2020,0
Perlis,11/7/2020,0
Kedah,11/7/2020,0
Pulau Pinang,11/7/2020,0
Perak,11/7/2020,0
Selangor,11/7/2020,3
Negeri Sembilan,11/7/2020,0
Melaka,11/7/2020,0
Johor,11/7/2020,2
Pahang,11/7/2020,0
Terengganu,11/7/2020,0
Kelantan,11/7/2020,0
Sabah,11/7/2020,1
Sarawak,11/7/2020,2
Kuala Lumpur,11/7/2020,0
Putrajaya,11/7/2020,0
Labuan,11/7/2020,0
Perlis,12/7/2020,0
Kedah,12/7/2020,0
Pulau Pinang,12/7/2020,0
Perak,12/7/2020,0
Selangor,12/7/2020,9
Negeri Sembilan,12/7/2020,0
Melaka,12/7/2020,1
Johor,12/7/2020,0
Pahang,12/7/2020,0
Terengganu,12/7/2020,0
Kelantan,12/7/2020,0
Sabah,12/7/2020,1
Sarawak,12/7/2020,2
Kuala Lumpur,12/7/2020,0
Putrajaya,12/7/2020,1
Labuan,12/7/2020,0
Perlis,13/7/2020,0
Kedah,13/7/2020,1
Pulau Pinang,13/7/2020,0
Perak,13/7/2020,0
Selangor,13/7/2020,4
Negeri Sembilan,13/7/2020,0
Melaka,13/7/2020,1
Johor,13/7/2020,0
Pahang,13/7/2020,0
Terengganu,13/7/2020,0
Kelantan,13/7/2020,0
Sabah,13/7/2020,0
